po_id,sku_id,supplier_id,po_date,promised_delivery_date,delivery_date,order_qty,unit_cost,shipping_mode,status,incoterm,currency,freight_cost,duty_cost
PO03732421,SKU9310518635,200139,2019-05-22,2019-06-12,2019-06-18,106,13.65,Air,delivered,EXW,EUR,7.01,10.44
PO72647743,SKU9310518635,200139,2019-06-03,2019-06-24,2019-06-27,159,11.37,Air,delivered,EXW,EUR,25.97,17.82
PO41745551,SKU9310518635,200139,2019-09-03,2019-09-24,2019-09-19,154,12.03,Air,delivered,EXW,EUR,8.51,16.78
PO95292145,SKU9310518635,200139,2019-12-04,2019-12-25,2019-12-21,94,14.15,Air,delivered,EXW,EUR,18.91,6.7
PO94595741,SKU9310518635,200139,2020-03-04,2020-03-25,2020-03-25,90,11.42,Air,delivered,EXW,EUR,20.69,6.11
PO15411870,SKU9310518635,200139,2020-06-03,2020-06-24,2020-06-28,109,12.76,Air,delivered,FOB,EUR,17.54,8.97
PO79925502,SKU9310518635,200139,2020-09-03,2020-09-24,2020-09-26,84,12.85,Air,delivered,CIF,EUR,7.7,1.75
PO62093112,SKU9310518635,200139,2020-12-04,2020-12-25,2020-12-27,95,13.77,Air,delivered,FOB,EUR,4.97,10.9
PO56894071,SKU9310518635,200139,2021-03-04,2021-03-25,2021-03-18,108,13.61,Air,delivered,CIF,EUR,5.54,8.11
PO32966210,SKU9310518635,200139,2021-06-03,2021-06-24,2021-06-22,82,12.16,Air,delivered,DAP,EUR,19.9,8.1
PO02958176,SKU9310518635,200139,2021-09-03,2021-09-24,2021-09-22,92,12.52,Air,delivered,DAP,EUR,21.77,4.98
PO20242140,SKU9310518635,200139,2021-12-04,2021-12-25,2021-12-24,80,13.09,Air,delivered,CIF,EUR,8.59,3.9
PO58079549,SKU9310518635,200139,2022-03-04,2022-03-25,2022-03-29,128,12.89,Air,delivered,DAP,EUR,14.45,5.14
PO17797015,SKU9310518635,200139,2022-06-03,2022-06-24,2022-06-23,112,10.65,Air,delivered,DAP,EUR,9.91,13.38
PO27557458,SKU9310518635,200139,2022-09-03,2022-09-24,2022-09-24,113,13.28,Air,delivered,DAP,EUR,24.31,2.84
PO47454803,SKU6955836996,200856,2016-09-12,2016-10-03,2016-10-02,82,28.13,Sea,delivered,FOB,GBP,12.12,3.88
PO29782878,SKU6955836996,200856,2016-09-03,2016-09-24,2016-09-27,250,30.72,Sea,delivered,FOB,GBP,15.45,24.44
PO15894684,SKU6955836996,200856,2016-12-04,2016-12-25,2016-12-26,247,28.5,Sea,delivered,EXW,GBP,13.41,9.86
PO73408831,SKU6955836996,200856,2017-03-04,2017-03-25,2017-03-25,321,34.81,Sea,delivered,CIF,GBP,35.52,18.91
PO81462400,SKU6955836996,200856,2017-06-03,2017-06-24,2017-06-26,305,30.84,Sea,delivered,DAP,GBP,64.95,25.09
PO05760174,SKU6955836996,200856,2017-09-03,2017-09-24,2017-09-25,355,28.92,Sea,delivered,CIF,GBP,51.27,27.57
PO14946083,SKU6955836996,200856,2017-12-04,2017-12-25,2017-12-25,164,31.67,Sea,delivered,EXW,GBP,18.13,11.93
PO30928971,SKU6955836996,200856,2018-03-04,2018-03-25,2018-03-25,124,30.42,Sea,delivered,EXW,GBP,24.38,7.27
PO83494224,SKU6955836996,200856,2018-06-03,2018-06-24,2018-06-18,80,27.71,Sea,delivered,DAP,GBP,18.34,9.47
PO74875392,SKU6955836996,200856,2018-09-03,2018-09-24,2018-09-25,80,30.66,Sea,delivered,EXW,GBP,14.0,3.83
PO59887967,SKU6955836996,200856,2018-12-04,2018-12-25,2018-12-24,80,30.56,Sea,delivered,DAP,GBP,6.79,5.73
PO65751082,SKU6955836996,200856,2019-03-04,2019-03-25,2019-03-22,80,31.37,Sea,delivered,EXW,GBP,19.39,9.29
PO58345882,SKU6955836996,200856,2019-09-03,2019-09-24,2019-09-24,80,31.37,Sea,delivered,EXW,GBP,12.76,11.38
PO86472509,SKU6955836996,200856,2020-09-03,2020-09-24,2020-09-21,80,30.15,Sea,delivered,DAP,GBP,12.06,7.7
PO22288119,SKU6171745695,200983,2017-02-25,2017-03-06,2017-03-02,124,48.5,Land,delivered,EXW,MYR,7.29,10.82
PO94263443,SKU6171745695,200983,2017-03-16,2017-03-25,2017-03-30,269,50.69,Land,delivered,EXW,MYR,49.61,37.43
PO20118182,SKU6171745695,200983,2017-06-15,2017-06-24,2017-06-18,350,38.72,Land,delivered,EXW,MYR,67.3,50.25
PO51525621,SKU6171745695,200983,2017-09-15,2017-09-24,2017-09-27,388,42.7,Land,delivered,CIF,MYR,69.03,9.48
PO72646871,SKU6171745695,200983,2017-12-16,2017-12-25,2017-12-27,256,50.57,Land,delivered,FOB,MYR,24.55,28.15
PO86052175,SKU6171745695,200983,2018-03-16,2018-03-25,2018-03-23,267,42.65,Land,delivered,CIF,MYR,57.42,27.61
PO94132784,SKU6171745695,200983,2018-06-15,2018-06-24,2018-06-23,250,49.57,Land,delivered,EXW,MYR,40.82,12.48
PO70501172,SKU6171745695,200983,2018-09-15,2018-09-24,2018-09-24,246,43.05,Land,delivered,FOB,MYR,44.64,29.56
PO26373569,SKU6171745695,200983,2018-12-16,2018-12-25,2018-12-23,131,41.85,Land,delivered,CIF,MYR,32.09,17.0
PO86034499,SKU6171745695,200983,2019-03-16,2019-03-25,2019-03-21,80,48.28,Land,delivered,CIF,MYR,12.19,8.79
PO90342307,SKU6171745695,200983,2019-06-15,2019-06-24,2019-06-24,80,41.29,Land,delivered,CIF,MYR,10.5,6.54
PO31514840,SKU6171745695,200983,2019-09-15,2019-09-24,2019-09-23,80,44.34,Land,delivered,DAP,MYR,4.11,10.19
PO89320564,SKU6171745695,200983,2020-03-16,2020-03-25,2020-03-23,80,40.6,Land,delivered,EXW,MYR,9.11,8.84
PO91115098,SKU6171745695,200983,2020-06-15,2020-06-24,2020-06-22,80,44.09,Land,delivered,EXW,MYR,11.47,11.65
PO97087505,SKU6171745695,200983,2020-09-15,2020-09-24,2020-09-26,80,43.85,Land,delivered,FOB,MYR,11.01,8.16
PO16066040,SKU9112068923,200439,2019-05-21,2019-06-11,2019-06-10,88,32.06,Sea,delivered,CIF,USD,16.66,8.45
PO05021700,SKU9112068923,200439,2019-06-03,2019-06-24,2019-06-23,129,32.11,Sea,delivered,EXW,USD,21.02,3.35
PO49585698,SKU9112068923,200439,2019-09-03,2019-09-24,2019-09-24,225,31.64,Sea,delivered,CIF,USD,13.79,16.14
PO62091687,SKU9112068923,200439,2019-12-04,2019-12-25,2019-12-24,167,38.58,Sea,delivered,EXW,USD,8.45,22.08
PO31264378,SKU9112068923,200439,2020-03-04,2020-03-25,2020-03-24,211,35.41,Sea,delivered,CIF,USD,18.06,16.3
PO92649982,SKU9112068923,200439,2020-06-03,2020-06-24,2020-06-23,239,35.43,Sea,delivered,EXW,USD,44.16,13.28
PO44738940,SKU9112068923,200439,2020-09-03,2020-09-24,2020-09-25,332,37.35,Sea,delivered,FOB,USD,71.11,12.91
PO57220698,SKU9112068923,200439,2020-12-04,2020-12-25,2020-12-27,200,30.97,Sea,delivered,CIF,USD,11.44,6.01
PO24417072,SKU9112068923,200439,2021-03-04,2021-03-25,2021-03-26,264,29.68,Sea,delivered,EXW,USD,55.92,15.95
PO44521651,SKU9112068923,200439,2021-06-03,2021-06-24,2021-06-20,219,37.17,Sea,delivered,FOB,USD,29.04,26.15
PO90069421,SKU9112068923,200439,2021-09-03,2021-09-24,2021-09-26,286,37.83,Sea,delivered,FOB,USD,66.09,36.01
PO83542210,SKU9112068923,200439,2021-12-04,2021-12-25,2021-12-18,252,35.85,Sea,delivered,EXW,USD,24.82,19.43
PO81360573,SKU9112068923,200439,2022-03-04,2022-03-25,2022-03-26,255,38.02,Sea,delivered,CIF,USD,18.93,36.18
PO89464249,SKU9112068923,200439,2022-06-03,2022-06-24,2022-06-23,200,36.62,Sea,delivered,DAP,USD,30.5,23.47
PO33930932,SKU9112068923,200439,2022-09-03,2022-09-24,2022-09-24,304,35.68,Sea,delivered,FOB,USD,34.79,17.93
PO35187260,SKU4171552432,200991,2016-05-24,2016-06-14,2016-06-14,80,26.05,Air,delivered,FOB,USD,11.85,7.03
PO87030322,SKU4171552432,200991,2016-06-03,2016-06-24,2016-06-26,92,27.83,Air,delivered,EXW,USD,11.85,9.79
PO00478413,SKU4171552432,200991,2016-09-03,2016-09-24,2016-09-29,86,29.92,Air,delivered,DAP,USD,6.12,8.43
PO73408890,SKU4171552432,200991,2016-12-04,2016-12-25,2016-12-24,80,26.82,Air,delivered,DAP,USD,19.52,6.89
PO83768776,SKU4171552432,200991,2017-03-04,2017-03-25,2017-03-27,80,30.09,Air,delivered,DAP,USD,18.62,11.84
PO66369404,SKU4171552432,200991,2017-06-03,2017-06-24,2017-06-24,80,29.54,Air,delivered,EXW,USD,9.95,7.74
PO96982869,SKU4171552432,200991,2017-09-03,2017-09-24,2017-09-27,80,28.94,Air,delivered,CIF,USD,16.68,3.3
PO74949916,SKU4171552432,200991,2017-12-04,2017-12-25,2017-12-26,80,25.11,Air,delivered,FOB,USD,4.44,10.36
PO28553188,SKU4171552432,200991,2018-03-04,2018-03-25,2018-03-24,80,26.28,Air,delivered,EXW,USD,13.81,7.16
PO65657048,SKU4171552432,200991,2018-06-03,2018-06-24,2018-06-19,80,25.76,Air,delivered,DAP,USD,17.13,7.97
PO39189899,SKU4171552432,200991,2018-09-03,2018-09-24,2018-09-29,80,29.66,Air,delivered,FOB,USD,13.31,9.0
