sku_id,product_name,category,sub_category,brand,product_type,size_label,launch_date,shelf_life_months,parent_sku,default_price,primary_supplier_id,is_active,country_of_origin,online_only,avg_rating,rating_count,is_discontinued
SKU9310518635,Garnier Sunscreen 50ml,Beauty,Skincare & Cosmetics,Garnier,Sunscreen,50ml,2019-04-22,18.0,SKU5304202933,17.74,200139,True,UK,False,3.93,73,False
SKU6955836996,Adidas Running Shoes Standard,Sports & Lifestyle,Sports Gear,Adidas,Running Shoes,Standard,2016-08-13,,,44.64,200856,True,CN,False,3.26,485,False
SKU6171745695,Puma Gym Towel Standard,Sports & Lifestyle,Sports Gear,Puma,Gym Towel,Standard,2017-01-26,,,63.71,200983,True,JP,False,3.44,329,False
SKU9112068923,Samsung Power Bank 10000mAh,Electronics Accessories,Gadgets,Samsung,Power Bank,10000mAh,2019-04-21,,,49.1,200439,True,AU,False,4.33,183,False
SKU4171552432,Sony USB Charger 33W,Electronics Accessories,Gadgets,Sony,USB Charger,33W,2016-04-24,,SKU1416947255,41.2,200991,True,US,False,4.48,56,False
SKU0908706868,H&M Home Bath Towel Standard,Home & Living,Home Essentials,H&M Home,Bath Towel,Standard,2019-04-05,,,22.19,200914,True,US,True,4.11,137,False
SKU4352719472,Samsung Wireless Earbuds Standard,Electronics Accessories,Gadgets,Samsung,Wireless Earbuds,Standard,2016-11-06,,,43.11,200914,True,FR,False,3.61,36,False
SKU2767416311,Xiaomi Wireless Earbuds Standard,Electronics Accessories,Gadgets,Xiaomi,Wireless Earbuds,Standard,2021-09-09,,,77.62,200601,True,US,False,3.36,569,False
SKU1691039685,L'Oreal Facial Cleanser 100ml,Beauty,Skincare & Cosmetics,L'Oreal,Facial Cleanser,100ml,2019-02-10,24.0,,18.85,200439,True,ID,False,4.43,459,False
SKU3856506982,Anker Wireless Earbuds Standard,Electronics Accessories,Gadgets,Anker,Wireless Earbuds,Standard,2022-02-28,,,40.42,200924,True,FR,False,4.47,214,False
SKU7213167310,Milo Breakfast Cereal 500g,Food & Beverage,Groceries,Milo,Breakfast Cereal,500g,2016-09-25,36.0,SKU6697464014,4.4,200914,True,MY,True,4.3,43,False
SKU2382683178,H&M Home Bath Towel Standard,Home & Living,Home Essentials,H&M Home,Bath Towel,Standard,2015-06-27,,,47.2,200914,True,CN,True,3.56,227,False
SKU0854478449,Persil Laundry Detergent 1.5kg,Home Care,Cleaning Supplies,Persil,Laundry Detergent,1.5kg,2015-12-16,,SKU3543128798,7.9,200991,True,TH,False,4.55,446,False
SKU7140396225,Garnier Moisturizer 50ml,Beauty,Skincare & Cosmetics,Garnier,Moisturizer,50ml,2022-03-09,36.0,,30.38,200983,True,DE,True,3.43,703,False
SKU4471900304,Philips Bluetooth Speaker Standard,Electronics Accessories,Gadgets,Philips,Bluetooth Speaker,Standard,2018-07-22,,,61.79,200914,True,FR,True,3.4,88,False
SKU5748392854,Oreo Chocolate Snack 100g,Food & Beverage,Groceries,Oreo,Chocolate Snack,100g,2015-04-08,,,7.67,200782,True,JP,False,4.12,235,False
SKU5468002294,Lifebuoy Deodorant 50ml,Personal Care,Toiletries & Bath,Lifebuoy,Deodorant,50ml,2017-01-03,,,5.71,200160,True,VN,True,3.36,234,False
SKU3750227445,Pantene Shampoo 300ml,Personal Care,Toiletries & Bath,Pantene,Shampoo,300ml,2022-04-09,24.0,,5.89,200090,True,VN,False,4.19,408,False
SKU2614716610,H&M Home Storage Box Small,Home & Living,Home Essentials,H&M Home,Storage Box,Small,2021-07-07,,SKU9112068923,29.3,200439,True,TH,False,3.34,24,False
SKU9602280382,Pantene Toothpaste 150g,Personal Care,Toiletries & Bath,Pantene,Toothpaste,150g,2020-08-28,,,7.98,200991,True,FR,False,3.87,449,False
SKU9268292227,Nike Running Shoes Standard,Sports & Lifestyle,Sports Gear,Nike,Running Shoes,Standard,2019-02-08,,,60.44,200439,True,VN,False,4.17,275,False
SKU0409524346,Persil Air Freshener 300ml,Home Care,Cleaning Supplies,Persil,Air Freshener,300ml,2016-05-15,,,7.78,200384,True,VN,False,3.97,202,False
SKU5966165534,La Roche-Posay Facial Cleanser 100ml,Beauty,Skincare & Cosmetics,La Roche-Posay,Facial Cleanser,100ml,2014-11-18,,SKU0829864965,16.32,200231,True,TH,False,3.25,70,False
SKU4250546449,Garnier Moisturizer 50ml,Beauty,Skincare & Cosmetics,Garnier,Moisturizer,50ml,2021-08-07,24.0,,20.06,200099,True,MY,False,3.87,358,False
